,Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,mixed
326,TICKLING,0.824,0.0,4.118,3.412,0.0,1.882,haptic
327,LATEX,0.588,0.294,4.118,0.235,1.471,3.588,haptic
328,KISSER,1.765,2.176,4.118,2.294,0.471,3.0,haptic
329,SOCK,0.167,0.167,4.111,0.278,1.667,3.611,haptic
330,BRAILLE,0.056,0.0,4.111,0.278,0.056,1.278,haptic
331,FUZZY,0.5,0.167,4.111,0.667,0.0,3.056,haptic
332,DAMPNESS,0.278,0.222,4.111,0.5,1.5,2.5,haptic
333,OUCH,0.684,0.053,4.105,4.211,0.0,1.316,haptic
334,PRESSING,0.263,0.316,4.105,2.579,0.105,1.632,haptic
335,FINGER,0.158,0.632,4.105,0.789,0.368,3.947,haptic
336,SWEATER,0.0,0.0,4.105,0.421,0.421,3.895,haptic
337,COLD,0.368,1.263,4.105,3.526,0.316,1.684,haptic
338,HOTNESS,1.0,1.474,4.105,2.526,0.947,2.316,haptic
339,ELASTIC BAND,0.75,0.1,4.1,0.25,0.5,3.65,haptic
340,WOOL,0.143,0.086,4.086,0.171,0.6,3.743,haptic
341,FOOTSY,0.462,0.077,4.077,1.308,0.308,1.615,haptic
342,TARLIKE,0.286,1.0,4.071,0.429,2.714,3.357,haptic
343,TOUCHABLE,0.688,0.438,4.062,0.812,0.062,2.75,haptic
344,HEAT,0.438,0.562,4.062,3.375,0.688,1.0,haptic
345,CLAMMILY,0.294,0.176,4.059,1.824,0.353,1.059,haptic
346,RUBBED,0.471,0.059,4.059,0.765,0.059,1.647,haptic
347,SLIME,0.529,0.824,4.059,0.176,1.353,3.765,haptic
348,WASHRAG,0.118,0.176,4.059,0.176,1.176,3.706,haptic
349,BACKSLAP,1.647,0.059,4.059,2.235,0.059,2.588,haptic
350,DOUGH,0.588,3.353,4.059,0.765,3.353,3.529,haptic
351,SLIPPERINESS,0.882,0.412,4.059,1.0,0.059,2.882,haptic
352,HANDWASH,1.778,0.333,4.056,0.611,1.778,3.167,haptic
353,NIGHTCLOTHES,0.278,0.056,4.056,1.111,0.389,4.0,haptic
354,THIGH,0.167,0.444,4.056,1.167,0.222,3.944,haptic
355,BODY LOTION,0.895,0.632,4.053,0.842,3.368,3.211,haptic
356,GAS PEDAL,0.789,0.263,4.053,0.474,0.263,3.053,haptic
357,CUSHION,0.053,0.0,4.053,0.632,0.053,2.737,haptic
358,RUBBER,0.579,0.368,4.053,0.158,2.684,4.0,haptic
359,POKE AT,0.368,0.0,4.053,1.368,0.0,3.105,haptic
360,RIGIDNESS,1.158,0.105,4.053,1.474,0.105,3.579,haptic
361,QUILT,0.684,0.105,4.053,0.684,0.526,3.842,haptic
362,MOISTURIZE,0.6,0.65,4.05,0.9,1.1,2.55,haptic
363,ELECTRIC SHOCK,1.45,0.2,4.05,3.3,0.5,2.35,haptic
364,FLESH,1.038,1.269,4.038,2.077,1.385,3.962,haptic
365,TOUCHPAD,0.571,0.143,4.0,0.357,0.0,2.286,haptic
366,KEYSTROKE,3.0,0.381,4.0,0.762,0.381,3.429,haptic
367,LOVEMAKING,3.611,3.056,4.0,4.111,3.167,4.0,haptic
368,PUSSY,1.5,2.778,4.0,2.667,2.778,3.889,haptic
